transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,,,
1,2950,2/25/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,41245,,, 
2,3120,5/21/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701,,,
3,402,10/16/2017,0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,,,
4,3135,8/31/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145,,,
5,787,10/1/2017,1,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226,,,
6,2339,3/8/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031,,,
7,1542,4/21/2017,1,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165,,,
8,2459,7/15/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915,,,
9,1305,8/10/2017,0,Approved,Solex,Standard,medium,large,1071.23,380.74,33455,,,
10,3262,8/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216,,,
11,1986,1/17/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784,,,
12,2783,1/5/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172,,,
13,1243,2/26/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527,,,
14,2717,9/10/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586,,,
15,247,6/11/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,,,
16,2961,10/10/2017,0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873,,,
17,2426,4/3/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206,,,
18,1842,6/2/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,,,
19,2268,4/6/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915,,,
20,3002,1/28/2017,1,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337,,,
21,1582,10/9/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334,,,
